city,month,temperature,humidity,wind_speed,risk_score,risk_category
Chennai,2,39.7,39.6,12.2,49.57,Medium
Bengaluru,9,37.7,38.0,5.1,40.94,Medium
Nagpur,6,39.3,34.1,1.7,45.25,Medium
Chennai,10,27.2,31.9,2.3,9.52,Low
Delhi,1,28.5,15.2,21.5,5.06,Low
Jaipur,1,30.6,17.1,14.3,10.0,Low
Kolkata,3,29.4,32.0,2.1,13.09,Low
Mumbai,11,34.4,42.1,0.5,31.22,Medium
Nagpur,5,36.4,56.7,11.2,48.23,Medium
Mumbai,9,34.6,36.0,0.2,28.86,Medium
Lucknow,4,35.0,54.4,0.8,41.32,Medium
Varanasi,9,25.9,27.2,10.9,5.06,Low
Chandigarh,6,29.1,33.4,1.9,12.92,Low
Delhi,9,20.1,34.1,8.9,5.34,Low
Bhopal,4,43.9,51.7,7.0,74.41,High
Thiruvananthapuram,5,41.1,70.4,14.6,72.41,High
Kolkata,5,30.9,11.8,7.1,10.62,Low
Thiruvananthapuram,5,45.4,47.8,14.7,74.75,High
Bengaluru,5,33.2,46.8,7.1,28.05,Medium
Jaipur,4,24.3,28.1,2.9,5.14,Low
Hyderabad,8,26.0,31.9,19.0,4.81,Low
Jaipur,5,41.4,74.0,13.4,73.81,High
Lucknow,2,29.3,21.8,0.9,11.09,Low
Bengaluru,6,24.0,10.6,0.8,1.99,Low
Kolkata,5,49.0,62.1,3.0,85.32,Severe
Varanasi,10,21.1,20.7,8.5,2.72,Low
Mumbai,6,42.1,64.9,7.8,74.04,High
Chandigarh,11,30.6,23.3,2.4,13.22,Low
Thiruvananthapuram,6,48.0,70.5,11.5,83.98,Severe
Jaipur,1,25.6,39.2,5.6,7.87,Low
Chandigarh,11,36.2,30.3,4.9,30.8,Medium
Jaipur,8,26.5,35.3,4.4,8.73,Low
Chennai,5,49.9,74.7,6.0,88.78,Severe
Bengaluru,5,49.7,82.0,5.7,89.97,Severe
Lucknow,2,34.2,52.2,2.2,36.02,Medium
Chandigarh,1,35.4,52.7,4.7,41.32,Medium
Bhopal,5,41.3,77.6,12.3,74.55,High
Patna,5,49.4,89.2,2.2,91.51,Severe
Bhopal,4,49.1,80.7,5.4,88.8,Severe
Bhopal,3,38.9,39.4,10.9,46.07,Medium
Chennai,6,39.5,45.7,2.8,55.61,High
Nagpur,6,42.2,64.5,7.0,74.25,High
Thiruvananthapuram,1,23.3,29.4,0.0,5.88,Low
Patna,12,26.1,25.0,9.6,5.16,Low
Chennai,4,22.6,30.7,5.5,5.22,Low
Chennai,6,40.9,53.5,10.9,69.32,High
Lucknow,4,41.2,56.0,0.1,72.1,High
Ahmedabad,6,50.0,56.3,1.5,86.01,Severe
Delhi,4,44.1,45.8,1.2,74.52,High
Ahmedabad,1,35.0,55.6,30.0,37.3,Medium
Mumbai,4,49.9,69.5,4.4,88.01,Severe
Chennai,4,45.2,66.2,1.7,80.28,Severe
Jaipur,7,35.2,31.1,15.0,26.11,Medium
Patna,12,36.2,45.7,4.4,40.05,Medium
Lucknow,8,21.5,29.0,0.8,5.67,Low
Mumbai,4,40.3,53.0,15.1,65.28,High
Jaipur,2,31.3,30.5,2.4,15.89,Low
Jaipur,10,26.6,26.5,1.4,7.63,Low
Nagpur,1,35.1,40.9,0.4,33.23,Medium
Jaipur,7,37.8,36.0,21.7,37.22,Medium
Chandigarh,12,35.7,34.2,7.4,30.64,Medium
Nagpur,6,48.1,93.8,0.6,90.62,Severe
Chandigarh,4,49.0,91.8,0.1,91.74,Severe
Chennai,4,44.5,48.7,8.3,74.56,High
Chandigarh,10,20.3,13.2,0.2,2.61,Low
Delhi,10,36.4,36.6,5.5,34.86,Medium
Lucknow,5,42.9,48.1,7.8,71.96,High
Nagpur,8,35.3,31.1,1.0,28.78,Medium
Jaipur,5,40.7,79.5,14.0,73.69,High
Patna,6,46.5,78.9,2.2,84.81,Severe
Patna,2,36.0,42.4,0.2,37.73,Medium
Delhi,8,27.9,14.9,0.4,7.55,Low
Bengaluru,11,30.8,36.2,5.5,15.8,Low
Hyderabad,2,22.6,10.9,6.3,1.13,Low
Patna,12,29.2,19.2,4.1,9.88,Low
Varanasi,1,35.6,57.2,2.2,46.06,Medium
Delhi,3,25.8,25.2,2.9,5.84,Low
Kolkata,10,34.9,36.7,6.7,29.19,Medium
Bengaluru,10,34.8,52.4,6.0,38.16,Medium
Ahmedabad,5,39.0,54.9,4.6,61.68,High
Hyderabad,6,42.7,58.9,4.6,74.33,High
Lucknow,4,39.6,45.7,7.6,55.31,High
Thiruvananthapuram,5,40.5,48.3,4.6,63.04,High
Hyderabad,4,38.0,40.6,2.4,44.5,Medium
Bhopal,6,40.1,67.5,7.6,71.39,High
Ahmedabad,9,22.1,29.4,1.7,5.6,Low
Varanasi,11,26.2,26.1,2.6,6.71,Low
Jaipur,4,26.5,38.9,0.5,10.1,Low
Bhopal,4,45.7,57.9,0.5,79.62,Severe
Nagpur,4,42.0,49.0,0.9,71.85,High
Chennai,6,41.0,48.0,7.0,65.02,High
Hyderabad,1,25.1,29.1,9.2,4.45,Low
Bengaluru,6,30.8,28.2,1.7,14.64,Low
Chandigarh,3,27.3,12.7,6.8,5.09,Low
Bhopal,9,26.7,32.5,4.9,8.4,Low
Delhi,4,46.1,82.4,1.3,85.02,Severe
Patna,6,35.5,31.8,11.5,28.05,Medium
Kolkata,4,39.9,58.1,10.0,68.79,High
Jaipur,10,24.3,37.2,8.8,5.97,Low
Chennai,5,21.4,20.3,0.6,3.96,Low
Lucknow,10,33.5,43.7,5.6,27.83,Medium
Bhopal,9,36.4,42.1,1.0,39.04,Medium
Patna,10,35.0,35.4,4.8,29.2,Medium
Hyderabad,4,44.1,70.4,2.4,79.24,Severe
Hyderabad,5,29.5,25.5,3.5,11.72,Low
Varanasi,12,25.8,36.5,4.5,7.83,Low
Thiruvananthapuram,12,24.5,37.5,1.7,7.22,Low
Nagpur,5,27.9,31.5,1.9,10.62,Low
Patna,6,49.4,57.2,1.8,85.18,Severe
Ahmedabad,11,20.9,30.1,10.3,4.3,Low
Varanasi,10,21.0,16.5,1.7,3.02,Low
Nagpur,4,26.0,30.2,1.6,7.37,Low
Mumbai,5,40.6,54.0,2.7,70.23,High
Nagpur,2,28.9,19.8,13.2,8.0,Low
Ahmedabad,11,36.0,54.2,2.1,45.72,Medium
Bhopal,4,40.3,49.6,3.1,63.59,High
Lucknow,2,33.3,57.1,4.5,34.72,Medium
Thiruvananthapuram,12,36.2,40.6,4.9,36.61,Medium
Ahmedabad,1,22.2,26.3,12.4,3.19,Low
Delhi,7,33.6,55.8,10.1,34.32,Medium
Chennai,9,25.1,20.3,1.2,4.02,Low
Mumbai,10,26.6,24.3,15.3,4.87,Low
Varanasi,5,45.2,91.1,4.2,84.84,Severe
Bhopal,11,25.4,14.2,1.2,3.28,Low
Jaipur,7,37.2,30.4,2.6,34.74,Medium
Delhi,5,47.2,65.4,1.9,83.28,Severe
Thiruvananthapuram,8,33.4,53.3,2.9,33.14,Medium
Jaipur,6,49.6,75.6,10.5,87.73,Severe
Mumbai,3,38.3,39.5,0.9,45.22,Medium
Bengaluru,6,40.2,49.9,2.0,63.54,High
Chennai,4,47.8,76.8,3.3,86.29,Severe
Varanasi,4,41.5,61.9,2.1,73.43,High
Thiruvananthapuram,8,36.0,42.7,3.2,37.42,Medium
Delhi,5,30.5,32.1,1.7,14.94,Low
Patna,5,39.1,75.5,1.5,72.41,High
Bhopal,4,40.2,71.1,10.4,71.81,High
Varanasi,6,45.5,67.4,2.0,80.95,Severe
Kolkata,6,39.4,78.4,5.7,72.77,High
Lucknow,5,30.4,18.7,3.8,11.75,Low
Bengaluru,8,22.7,26.3,3.4,4.69,Low
Thiruvananthapuram,5,41.3,60.4,13.1,70.98,High
Ahmedabad,5,40.4,68.9,16.7,70.64,High
Mumbai,6,48.8,69.0,0.1,86.86,Severe
Ahmedabad,4,40.5,50.9,2.7,66.16,High
Varanasi,6,49.2,74.9,1.4,88.47,Severe
Patna,4,40.4,72.8,3.4,73.63,High
Thiruvananthapuram,5,34.5,46.3,2.8,33.59,Medium
Bengaluru,4,40.8,48.2,2.5,64.9,High
Hyderabad,10,34.6,45.3,4.4,33.14,Medium
Jaipur,11,33.4,41.9,2.8,27.04,Medium
Chennai,2,23.2,39.9,11.7,6.03,Low
Bengaluru,6,41.6,64.8,9.6,72.92,High
Mumbai,4,48.2,56.2,6.6,82.26,Severe
Lucknow,5,44.4,82.9,1.6,82.35,Severe
Varanasi,1,37.3,33.4,1.0,37.1,Medium
Lucknow,12,26.8,21.6,0.1,7.18,Low
Patna,4,37.4,42.6,0.4,43.72,Medium
Chennai,8,33.3,51.3,5.2,31.19,Medium
Chandigarh,4,44.0,47.6,2.3,74.54,High
Nagpur,6,21.1,13.6,3.7,2.1,Low
Bhopal,11,38.7,31.3,8.4,39.83,Medium
Ahmedabad,6,39.7,66.7,5.8,70.89,High
Nagpur,3,26.6,33.7,3.2,8.77,Low
Hyderabad,11,20.8,31.7,15.9,3.69,Low
Thiruvananthapuram,11,26.4,13.2,3.6,4.28,Low
Bhopal,6,41.8,66.6,13.3,72.98,High
Mumbai,11,26.7,12.3,0.0,5.18,Low
Bengaluru,2,34.2,33.6,0.5,26.32,Medium
Varanasi,4,41.4,51.7,6.3,70.53,High
Chandigarh,1,36.1,51.5,2.9,44.01,Medium
Delhi,4,39.1,56.1,9.1,62.74,High
Patna,9,34.6,42.2,10.5,30.36,Medium
Lucknow,6,38.6,38.6,1.3,45.76,Medium
Chennai,4,43.8,53.7,5.5,74.9,High
Delhi,11,23.6,38.2,1.8,7.34,Low
Delhi,5,39.4,55.3,0.3,65.09,High
Bhopal,5,43.1,48.0,11.3,71.68,High
Bengaluru,6,41.2,71.1,1.4,74.91,High
Ahmedabad,10,21.5,20.1,8.2,2.65,Low
Jaipur,1,37.0,52.2,0.9,49.24,Medium
Chandigarh,6,49.3,59.4,3.1,85.24,Severe
Hyderabad,6,34.1,56.6,7.9,37.46,Medium
Chandigarh,7,35.2,38.8,9.6,30.91,Medium
Varanasi,9,26.6,16.4,17.5,2.92,Low
Jaipur,12,34.0,56.2,2.0,37.72,Medium
Mumbai,4,43.1,55.0,7.9,73.64,High
Ahmedabad,6,40.5,46.7,1.7,61.86,High
Ahmedabad,5,39.8,70.3,2.9,72.26,High
Thiruvananthapuram,9,23.7,34.9,2.0,6.65,Low
Chandigarh,5,35.7,42.2,5.2,35.55,Medium
Ahmedabad,11,23.3,28.7,29.3,0.86,Low
Mumbai,6,39.1,72.4,0.5,71.96,High
